"date","site","habitat","common_name","count"
"6-11-1999","A","pool","Creek Chub",52
"6-11-1999","A","pool","Fathead Minnow",0
"6-11-1999","A","pool","Green Sunfish",12
"6-11-1999","A","pool","Johnny Darter",1
"6-11-1999","A","pool","Longear Sunfish",0
"6-11-1999","A","pool","Orangespotted Sunfish",0
"6-11-1999","A","pool","Orangethroated Darter",22
"6-11-1999","A","pool","Red Shiner",1
"6-11-1999","A","pool","Ringed Crayfish",0
"6-11-1999","A","pool","Sand Shiner",0
"6-11-1999","A","pool","Slender Madtom",0
"6-11-1999","A","pool","Southern Redbelly Dace",262
"6-11-1999","A","pool","Suckermouth Minnows",0
"6-11-1999","A","pool","Water Nymph Crayfish",0
"6-11-1999","A","pool","Western Mosquitofish",0
"6-11-1999","A","pool","White Sucker",9
"6-11-1999","A","riffle","Bluegill",0
"6-11-1999","A","riffle","Bluntnose Minnow",0
"6-11-1999","A","riffle","Carmine Shiner",0
"6-11-1999","A","riffle","Central Stoneroller",5
"6-11-1999","A","riffle","Common Shiner",0
"6-11-1999","A","riffle","Creek Chub",6
"6-11-1999","A","riffle","Fathead Minnow",0
"6-11-1999","A","riffle","Green Sunfish",0
"6-11-1999","A","riffle","Johnny Darter",0
"6-11-1999","A","riffle","Longear Sunfish",0
"6-11-1999","A","riffle","Orangespotted Sunfish",0
"6-11-1999","A","riffle","Orangethroated Darter",104
"6-11-1999","A","riffle","Red Shiner",0
"6-11-1999","A","riffle","Ringed Crayfish",0
"6-11-1999","A","riffle","Sand Shiner",0
"6-11-1999","A","riffle","Slender Madtom",0
"6-11-1999","A","riffle","Southern Redbelly Dace",10
"6-11-1999","A","riffle","Suckermouth Minnows",0
"6-11-1999","A","riffle","Water Nymph Crayfish",0
"6-11-1999","A","riffle","Western Mosquitofish",0
"6-11-1999","A","riffle","White Sucker",0
"10-11-1999","D","pool","Bluegill",0
"10-11-1999","D","pool","Bluntnose Minnow",0
"10-11-1999","D","pool","Carmine Shiner",0
"10-11-1999","D","pool","Central Stoneroller",217
"10-11-1999","D","pool","Common Shiner",0
"10-11-1999","D","pool","Creek Chub",76
"10-11-1999","D","pool","Fathead Minnow",0
"10-11-1999","D","pool","Green Sunfish",0
"10-11-1999","D","pool","Johnny Darter",0
"10-11-1999","D","pool","Longear Sunfish",0
"10-11-1999","D","pool","Orangespotted Sunfish",0
"10-11-1999","D","pool","Orangethroated Darter",0
"10-11-1999","D","pool","Red Shiner",0
